"MAKE","MODEL","TYPE","CYL","ENGINE L","FUEL TANK L","CONS. L/100km","RANGE km"
"Lamborghini","Aventador","Passenger","12","6.5","85","18.4","462"
"Ferrari","812  GTS","Passenger","12","6.5","92","15.8","582"
"Ferrari","812  Superfast","Passenger","12","6.5","92","15.0","613"
"Ferrari","GTC4Lusso","Passenger","12","6.3","91","15.3","595"
"Bentley","Continental","Passenger","12","6.0","90","13.6","662"
"Lamborghini","Huracan","Passenger","10","5.2","80","13.9","576"
"Aston  Martin","DBS","Passenger","12","5.2","78","12.4","629"
"Aston  Martin","DB11","Passenger","12","5.2","78","11.4","684"
"Ford","Mustang","Passenger","8","5.0","61","12.7","480"
"Lexus","RC","Passenger","8","5.0","66","11.2","589"
"Jaguar","F-TYPE","Passenger","8","5.0","70","11.3","620"
"Lexus","LC","Passenger","8","5.0","82","11.6","707"
"Maserati","GranCabrio","Passenger","8","4.7","75","14.5","517"
"Maserati","GranTurismo","Passenger","8","4.7","86","14.3","601"
"Mercedes-Benz","SL-Class","Passenger","8","4.7","75","9.1","824"
"Alpina","B5","Passenger","8","4.4","66","10.5","629"
"BMW","8  Series","Passenger","8","4.4","68","10.7","636"
"BMW","M8","Passenger","8","4.4","68","10.4","654"
"Porsche","718","Passenger","6","4.0","64","11.0","582"
"McLaren","GT","Passenger","8","4.0","72","10.8","667"
"McLaren","720S","Passenger","8","4.0","72","10.7","673"
"Mercedes-Benz","AMG GT","Passenger","8","4.0","80","11.3","708"
"Aston  Martin","Vantage","Passenger","8","4.0","73","10.3","709"
"Bentley","Continental","Passenger","8","4.0","90","11.8","763"
"Aston  Martin","DB11","Passenger","8","4.0","78","9.9","788"
"Ferrari","488  Pista Spider","Passenger","8","3.9","78","11.7","667"
"Ferrari","488  Pista","Passenger","8","3.9","78","11.5","678"
"Ferrari","F8  Spider","Passenger","8","3.9","86","12.4","694"
"Ferrari","F8  Tributo","Passenger","8","3.9","86","12.2","705"
"Ferrari","Portofino","Passenger","8","3.9","80","10.7","748"
"Ferrari","GTC4Lusso","Passenger","8","3.9","91","11.6","785"
"Porsche","911","Passenger","6","3.8","67","11.5","583"
"McLaren","570GT","Passenger","8","3.8","72","12.2","590"
"McLaren","600LT","Passenger","8","3.8","72","11.7","615"
"Nissan","GT-R","Passenger","6","3.8","74","12.0","617"
"McLaren","570S","Passenger","8","3.8","72","11.0","655"
"Nissan","370Z","Passenger","6","3.7","72","10.6","679"
"Lotus","Exige","Passenger","6","3.5","48","10.0","480"
"Honda","NSX","Passenger","6","3.5","58","9.7","598"
"Lotus","Evora","Passenger","6","3.5","60","9.7","619"
"Lexus","RC","Passenger","6","3.5","66","9.1","725"
"Lexus","LC","Passenger","6","3.5","82","6.7","1,224"
"Porsche","911","Passenger","6","3.0","64","9.4","681"
"BMW","M4","Passenger","6","3.0","60","8.8","682"
"BMW","Z4","Passenger","6","3.0","52","7.5","693"
"BMW","2  Series","Passenger","6","3.0","52","7.1","732"
"Audi","S5","Passenger","6","3.0","58","7.6","763"
"Mercedes-Benz","AMG GT","Passenger","6","3.0","80","10.4","769"
"Jaguar","F-TYPE","Passenger","6","3.0","70","8.6","814"
"Mercedes-Benz","SLC-Class","Passenger","6","3.0","70","8.3","843"
"BMW","8  Series","Passenger","6","3.0","68","7.9","861"
"Audi","RS5","Passenger","6","2.9","58","8.8","659"
"Audi","TT RS","Passenger","5","2.5","55","8.0","688"
"Porsche","718","Passenger","4","2.5","64","8.2","781"
"Subaru","BRZ","Passenger","4","2.0","50","8.4","595"
"Toyota","86","Passenger","4","2.0","50","8.4","595"
"MINI","Convertible","Passenger","4","2.0","40","6.5","615"
"Mazda","MX-5","Passenger","4","2.0","45","6.8","662"
"BMW","Z4","Passenger","4","2.0","52","7.2","722"
"Audi","TTS","Passenger","4","2.0","55","7.0","786"
"Audi","TT","Passenger","4","2.0","55","6.6","833"
"Porsche","718","Passenger","4","2.0","64","7.5","853"
"Jaguar","F-TYPE","Passenger","4","2.0","63","7.2","875"
"BMW","2  Series","Passenger","4","2.0","52","5.9","881"
"Lexus","RC","Passenger","4","2.0","66","7.3","904"
"Audi","A5","Passenger","4","2.0","54","5.6","964"
"Mercedes-Benz","SLC-Class","Passenger","4","2.0","60","6.2","968"
"Lotus","Elise","Passenger","4","1.8","40","7.5","533"
